(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
a [glutamine synthetase]-O4-(5'-adenylyl)-L-tyrosine + phosphate = a [glutamine-synthetase]-L-tyrosine + ADP	1883 1354 	1884 616 
a [glutamine-synthetase]-L-tyrosine + ATP = a [glutamine synthetase]-O4-(5'-adenylyl)-L-tyrosine + diphosphate	1884 718 	1883 955 
a [glycine-cleavage complex H protein] N6-aminomethyldihydrolipoyl-L-lysine + a tetrahydrofolate <=> a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + a 5,10-methylenetetrahydrofolate + ammonium	1885 1800 	1886 1836 706 
a [glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine + NAD+ <=> a [glycine-cleavage complex H protein] N6-lipoyl-L-lysine + NADH + H+	1886 1298 	1595 1299 1064 
a [glycine-cleavage complex H protein] N6-lipoyl-L-lysine + a [lipoyl-carrier protein]-L-lysine -> a [lipoyl-carrier protein]-N6-lipoyl-L-lysine + [glycine cleavage system lipoyl-carrier protein]-L-lysine	1595 1596 	1597 1594 
a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + a [lipoyl-carrier protein]-L-lysine -> [glycine cleavage system lipoyl-carrier protein]-L-lysine + a [lipoyl-carrier protein] N6-octanoyl-L-lysine	1659 1596 	1594 1660 
a [lipoyl-carrier protein] N6-[(R)-dihydrolipoyl]-L-lysine + NAD+ -> a [lipoyl-carrier protein]-N6-lipoyl-L-lysine + NADH + H+	1662 1298 	1597 1299 1064 
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate -> a [lipoyl-carrier protein]-N6-lipoyl-L-lysine + AMP + diphosphate + H+	1596 718 111 	1597 707 955 1064 
a [lipoyl-carrier protein]-L-lysine + octanoate + ATP -> a [lipoyl-carrier protein] N6-octanoyl-L-lysine + AMP + diphosphate + H+	1596 1321 718 	1660 707 955 1064 
a [lipoyl-carrier protein]-N6-lipoyl-L-lysine + H2O -> a [lipoyl-carrier protein]-L-lysine + (R)-lipoate	1597 1066 	1596 111 
a [lysine-biosynthesis-protein LysW]-C-terminal-γ-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate + NADP+ + phosphate = a [lysine-biosynthesis-protein LysW]-C-terminal-γ-(5-phospho-L-glutamyl)-L-glutamate + NADPH + H+	1887 1300 1354 	1888 1301 1064 
a [lysine-biosynthesis-protein LysW]-C-terminal-γ-(L-glutamyl)-L-glutamate + ATP = a [lysine-biosynthesis-protein LysW]-C-terminal-γ-(5-phospho-L-glutamyl)-L-glutamate + ADP	1889 718 	1888 616 
a [lysine-biosynthesis-protein LysW]-C-terminal-γ-(L-ornithyl)-L-glutamate + 2-oxoglutarate <=> L-glutamate + a [lysine-biosynthesis-protein LysW]-C-terminal-γ-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate	1890 280 	1157 1887 
a [peptide] with N-terminal β aspartate + H2O -> L-aspartate + a peptide	1891 1066 	1140 1845 
a [prolipoprotein]-L-cysteine + an L-1-phosphatidyl-sn-glycerol -> a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine + sn-glycerol 1-phosphate + H+	1892 1617 	559 1454 1064 
a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine + H2O -> an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a lipoprotein signal peptide	559 1066 	1893 1894 
a [protein] (L-serine/L-threonine) phosphate + H2O -> a [protein] Ser/Thr + phosphate	1895 1066 	1896 1354 
a [protein] 3-nitrosothio-L-alanine + glutathione <=> a [protein]-L-cysteine + S-nitrosoglutathione	1897 1027 	1827 1433 
a [protein] N-terminal-formyl-L-methionine + H2O = an N-terminal L-methionyl-[protein] + formate	1898 1066 	1899 995 
a [protein] S-acetyl-L-cysteine + acetyl-CoA <=> acetoacetyl-CoA + a [protein]-L-cysteine	1900 595 	593 1827 
a [protein] S-acyl-L-cysteine + coenzyme A -> a [protein]-L-cysteine + an acyl-CoA	1828 856 	1827 1901 
a [protein] Ser/Thr + ATP = a [protein] (L-serine/L-threonine) phosphate + ADP + H+	1896 718 	1895 616 1064 
a [protein]-L-cysteine + nitric oxide + oxygen -> a [protein] 3-nitrosothio-L-alanine + superoxide + H+	1827 1309 1336 	1897 1470 1064 
a [protein]-L-histidine + 2,3-diphospho-D-glycerate <=> a [protein]-Nπ-phospho-L-histidine + 2/3-phospho-D-glycerate	1902 216 	1903 1904 
a [protein]-L-histidine + 2,3-diphospho-D-glycerate <=> a [protein]-Nπ-phospho-L-histidine + 3-phospho-D-glycerate	1902 216 	1903 373 
a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol) -> a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-5-one) + H2O	1905	1906 1066 
a [protein]-L-methionine + an oxidized thioredoxin + H2O = a protein-L-methionine-(S)-S-oxide + a reduced thioredoxin	1907 1683 1066 	1908 1682 
a [protein]-L-methionine + an oxidized thioredoxin + H2O <- a protein-L-methionine-(R)-S-oxide + a reduced thioredoxin	1909 1682 	1907 1683 1066 
a [protein]-L-proline (ω = 180) <=> a [protein]-L-proline (ω = 0)	1910	1911
a [protein]-L-threonine + FAD -> a [protein]-FMN-L-threonine + AMP	1912 983 	1913 707 
a [protein]-L-tyrosine phosphate + H2O -> a [protein]-L-tyrosine + phosphate	1914 1066 	1915 1354 
a [protein]-N-phospho-L-histidine + H2O -> a [protein]-L-histidine + phosphate	1916 1066 	1902 1354 
a [protein]-N6-monoubiquitinyl-L-lysine + H2O -> a [protein]-L-lysine + a [ubiquitin] C-terminal glycine	1917 1066 	1918 1919 
a [protein]-Nπ-phospho-L-histidine + 2-phospho-D-glycerate <=> a [protein]-L-histidine + 2,3-diphospho-D-glycerate	1903 285 	1902 216 
a [protein]-Nπ-phospho-L-histidine + 2/3-phospho-D-glycerate <=> a [protein]-L-histidine + 2,3-diphospho-D-glycerate	1903 1904 	1902 216 
a [protein]-Nπ-phospho-L-histidine + H2O -> a [protein]-L-histidine + phosphate	1903 1066 	1902 1354 
a [protein]-Nτ-phospho-L-histidine + H2O -> a [protein]-L-histidine + phosphate	1920 1066 	1902 1354 
a [PTS enzyme I]-Nπ-phospho-L-histidine + an [HPr]-L-histidine -> a [PTS enzyme I]-L-histidine + an [HPr protein]-Nπ-phospho-L-histidine	1921 1922 	1923 1924 
a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+ -> a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+	1925 1298 	1665 1299 1064 
a [reduced flavoprotein] + 2 [corrinoid adenosyltranferase]-cob(II)inamide -> an [oxidized flavoprotein] + 2 [corrinoid adenosyltranferase]-cob(I)inamide + 2 H+	1632 1575 	1633 1574 1064 
a [reduced flavoprotein] + 2 cob(II)yrinate a,c-diamide-[corrinoid adenosyltranferase] -> an [oxidized flavoprotein] + 2 cob(I)yrinate a,c-diamide-[corrinoid adenosyltranferase] + 2 H+	1632 855 	1633 851 1064 
a [ThiI sulfur-carrier protein]-S-sulfanyl-L-cysteine + a carboxy-adenylated-[ThiS sulfur-carrier protein] + 2 a reduced ferredoxin [iron-sulfur] cluster -> a thiocarboxy-[ThiS-Protein] + a [ThiI sulfur-carrier protein]-L-cysteine + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster	1926 1927 1628 	1621 1928 707 1629 
a behenoyl-[acp] + malonyl-CoA + H+ = a 3-oxotetracosanoyl-[acp] + CO2 + coenzyme A	1929 1208 1064 	1745 834 856 
a branched-chain amino acid[periplasm] + ATP + H2O -> a branched-chain amino acid[cytosol] + ADP + phosphate + H+	1930 718 1066 	1930 616 1354 1064 
a branched-chain amino acid[periplasm] + H+[periplasm] -> a branched-chain amino acid[cytosol] + H+[cytosol]	1930 1064 	1930 1064 
a butanoyl-[acp] + a malonyl-[acp] + H+ -> a 3-oxohexanoyl-[acp] + CO2 + acyl-carrier protein	1931 1776 1064 	1732 834 1624 
a butanoyl-[acp] + malonyl-CoA + H+ = a 3-oxohexanoyl-[acp] + CO2 + coenzyme A	1931 1208 1064 	1732 834 856 
a butanoyl-[acp] + NAD+ <- a (2E)-but-2-enoyl-[acp] + NADH + H+	1712 1299 1064 	1931 1298 
a C4-dicarboxylate[periplasm] -> a C4-dicarboxylate[cytosol]	1932	1932
a C4-dicarboxylate[periplasm] + ATP + H2O -> a C4-dicarboxylate[cytosol] + ADP + phosphate + H+	1932 718 1066 	1932 616 1354 1064 
a carbohydrate[periplasm] + ATP + H2O -> a carbohydrate[cytosol] + ADP + phosphate + H+	1933 718 1066 	1933 616 1354 1064 
a carboxy-adenylated [small subunit of molybdopterin synthase] + an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a reduced electron acceptor -> a thiocarboxylated [small subunit of molybdopterin synthase] + an [L-cysteine desulfurase]-L-cysteine + AMP + an oxidized electron acceptor + H+	1934 1935 1609 	1936 1937 707 1608 1064 
a CDP-diacylglycerol + H2O = a 1,2-diacyl-sn-glycerol 3-phosphate + CMP + 2 H+	1938 1066 	1939 831 1064 
a CDP-diacylglycerol + L-serine -> CMP + a 3-O-sn-phosphatidyl-L-serine + H+	1938 1182 	831 1824 1064 
a CDP-diacylglycerol + sn-glycerol 3-phosphate -> CMP + 1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate + H+	1938 1455 	831 1616 1064 
a Chi-site containing double stranded DNA with a blunt end + ATP + DNA recombination/repair protein RecA + H2O -> a double stranded DNA with a RecA protein loaded 3' overhang + ADP + phosphate + H+	1940 718 1941 1066 	1942 616 1354 1064 
a chitodextrin + n H2O -> n N,N'-diacetylchitobiose + N,N',N''-triacetylchitotriose	1943 1066 	1944 1239 
a chitodextrin[out] -> a chitodextrin[in]	1943	1943
a cis,cis-delta11,23-3-hydroxyC42:2-[acp] + NADP+ = a cis,cis-delta11,23-3-oxo-C42:2-[acp] + NADPH + H+	1945 1300 	1946 1301 1064 
a cis,cis-delta11,29-3-hydroxy C48:2-[acp] + NADP+ = a cis,cis-delta11,29-3-oxo-C48:2-[acp] + NADPH + H+	1947 1300 	1948 1301 1064 
a cis,cis-delta13,25-3-hydroxyC44:2-[acp] + NADP+ = a cis,cis-delta13,25-3-oxo-C44:2-[acp] + NADPH + H+	1949 1300 	1950 1301 1064 
a cis,cis-delta13,31-3-hydroxy C50:2-[acp] + NADP+ = a cis,cis-delta13,31-3-oxo-C50:2-[acp] + NADPH + H+	1951 1300 	1952 1301 1064 
a cis,cis-delta15,27-3-hydroxyC46:2-[acp] + NADP+ = a cis,cis-delta15,27-3-oxo-C46:2-[acp] + NADPH + H+	1953 1300 	1954 1301 1064 
a cis,cis-delta15,33-3-hydroxy C52:2-[acp] + NADP+ = a cis,cis-delta15,33-3-oxo-C52:2-[acp] + NADPH + H+	1955 1300 	1956 1301 1064 
a cis,cis-delta17,29-3-hydroxyC48:2-[acp] + NADP+ = a cis,cis-delta17,29-3-oxo-C48:2-[acp] + NADPH + H+	1957 1300 	1958 1301 1064 
a cis,cis-delta17,35-3-hydroxyC54:2-[acp] + NADP+ = a cis,cis-delta17,35-3-oxo-C54:2-[acp] + NADPH + H+	1959 1300 	1960 1301 1064 
a cis,cis-delta19,31-3-hydroxyC50:2-[acp] + NADP+ = a cis,cis-delta19,31-3-oxo-C50:2-[acp] + NADPH + H+	1961 1300 	1962 1301 1064 
a cis,cis-delta19,37-3-hydroxy-C56:2-[acp] + NADP+ = a cis,cis-delta19,37-3-oxo-C56:2-[acp] + NADPH + H+	1963 1300 	1964 1301 1064 
a cis,cis-delta21,39-3-hydroxyC58:2-[acp] + NADP+ = a cis,cis-delta21,39-3-oxo-C58:2-[acp] + NADPH + H+	1965 1300 	1966 1301 1064 
a cis,cis-delta5,17-3-hydroxyC36:2[acp] + NADP+ = a cis,cis-delta5,17-3-oxo-C36:2-[acp] + NADPH + H+	1967 1300 	1968 1301 1064 
a cis,cis-delta5,23-3-hydroxyC42:2-[acp] + NADP+ = a cis,cis-delta5,23-3-oxo-C42:2-[acp] + NADPH + H+	1969 1300 	1970 1301 1064 
a cis,cis-delta7,19-3-hydroxyC38:2-[acp] + NADP+ = a cis,cis-delta7,19-3-oxo-C38:2-[acp] + NADPH + H+	1971 1300 	1972 1301 1064 
a cis,cis-delta7,25-3-hydroxyC44:2-[acp] + NADP+ = a cis,cis-delta7,25-3-oxo-C44:2-[acp] + NADPH + H+	1973 1300 	1974 1301 1064 
a cis,cis-delta9,21-3-hydroxyC40:2-[acp] + NADP+ = a cis,cis-delta9,21-3-oxo-C40:2-[acp] + NADPH + H+	1975 1300 	1976 1301 1064 
a cis,cis-delta9,27-3-hydroxyC46:2-[acp] + NADP+ = a cis,cis-delta9,27-3-oxo-C46:2-[acp] + NADPH + H+	1977 1300 	1978 1301 1064 
a cis-delta11-3-oxo-C30:1-[acp] + NADPH + H+ -> a cis-delta11-3-hydroxyC30:1-[acp] + NADP+	1979 1301 1064 	1980 1300 
a cis-delta13-3-oxo-C32:1-[acp] + NADPH + H+ -> a cis-delta13-3-hydroxyC32:1-[acp] + NADP+	1981 1301 1064 	1982 1300 
a cis-delta15-3-oxo-C34:1-[acp] + NADPH + H+ -> a cis-delta15-3-hydroxyC34:1-[acp] + NADP+	1983 1301 1064 	1984 1300 
a cis-delta17-3-oxo-C36:1-[acp] + NADPH + H+ -> a cis-delta17-3-hydroxyC36:1-[acp] + NADP+	1985 1301 1064 	1986 1300 
a cis-delta19-3-oxo-C38:1-[acp] + NADPH + H+ -> a cis-delta19-3-hydroxyC38:1-[acp] + NADP+	1987 1301 1064 	1988 1300 
a cis-delta21-3-oxo-C40:1-[acp] + NADPH + H+ -> a cis-delta21-3-hydroxyC40:1-[acp] + NADP+	1989 1301 1064 	1990 1300 
a cis-vaccenoyl-[acp] + 1-cis-vaccenoyl-sn-glycerol-3-phosphate -> 1,2-dicis-vaccenoyl-phosphatidate + acyl-carrier protein	1991 163 	146 1624 
a cis-vaccenoyl-[acp] + 1-palmitoyl-sn-glycerol 3-phosphate -> 1-palmitoyl-2-cis-vaccenoyl phosphatidate + acyl-carrier protein	1991 177 	173 1624 
a cis-vaccenoyl-[acp] + sn-glycerol 3-phosphate -> 1-cis-vaccenoyl-sn-glycerol-3-phosphate + acyl-carrier protein	1991 1455 	163 1624 
a citryl-holo [citrate lyase acyl-carrier protein] -> oxaloacetate + an acetyl-holo [citrate lyase acyl-carrier protein] + H+	1992	1332 1993 1064 
a cytidine34 in [elongator tRNAmet] + ATP + acetyl-CoA + H2O = an N4-acetylcytidine34 in [elongator tRNAmet] + ADP + coenzyme A + phosphate + H+	1994 718 595 1066 	1995 616 856 1354 1064 
a cytidine34 in tRNAIle2 + L-lysine + ATP -> a lysidine34 in tRNAIle2 + AMP + diphosphate + 2 H+	1996 1168 718 	1997 707 955 1064 
a D-aminoacyl-[tRNA] + H2O -> a D-amino acid + an uncharged tRNA + H+	1998 1066 	1999 2000 1064 
a D-aspartyl-[tRNAasp] + H2O -> D-aspartate + tRNAasp + H+	2001 1066 	884 2002 1064 
a D-glucoronoside[periplasm] -> a D-glucoronoside[cytosol]	2003	2003
a D-hexose + ATP -> D-hexose 6-phosphate + ADP + H+	2004 718 	902 616 1064 
a D-tryptophanyl-[tRNATrp] + H2O -> D-tryptophan + a tRNATrp + H+	2005 1066 	920 2006 1064 
a D-tyrosyl-[tRNATyr] + H2O -> D-tyrosine + a tRNATyr + H+	2007 1066 	921 2008 1064 
a debranched α-limit dextrin + n phosphate -> n α-D-glucopyranose 1-phosphate	2009 1354 	1584
a decanoyl-[acp] + a malonyl-[acp] + H+ -> a 3-oxododecanoyl-[acp] + CO2 + acyl-carrier protein	2010 1776 1064 	1721 834 1624 
a decanoyl-[acp] + malonyl-CoA + H+ = a 3-oxododecanoyl-[acp] + CO2 + coenzyme A	2010 1208 1064 	1721 834 856 
a decanoyl-[acp] + NAD+ <- a (2E)-dec-2-enoyl-[acp] + NADH + H+	1715 1299 1064 	2010 1298 
a dimer of adjacent 2'-deoxycytidine and thymidine in DNA + hν -> adjacent 2'-deoxycytidine-thymidine in DNA	528 2011 	614
a dimer of adjacent 2'-deoxycytidines in DNA + hν -> two adjacent 2'-deoxycytidines in DNA	529 2011 	1496
a dimer of adjacent pyrimidine nucleosides in DNA + hν -> two adjacent pyrimidine nucleosides in DNA	2012 2011 	2013
a dimer of adjacent thymidine and 2'-deoxycytidine in DNA + hν -> adjacent thymidine-2'-deoxycytidine in DNA	530 2011 	615
a dimer of adjacent thymidines in DNA + hν -> two adjacent thymidines in DNA	531 2011 	1497
a dimer of non-adjacent 2'-deoxycytidine and thymidine in DNA + hν -> a 2'-deoxycytidine in DNA + a thymidine in DNA	2014 2011 	2015 2016 
a dimer of non-adjacent 2'-deoxycytidines in DNA + hν -> 2 a 2'-deoxycytidine in DNA	2017 2011 	2015
a dimer of non-adjacent pyrimidine nucleosides in DNA + hν -> 2 a pyrimidine nucleoside in DNA	2018 2011 	2019
a dimer of non-adjacent thymidine and 2'-deoxycytidine in DNA + hν -> a 2'-deoxycytidine in DNA + a thymidine in DNA	2020 2011 	2015 2016 
a dimer of non-adjacent thymidines in DNA + hν -> 2 a thymidine in DNA	2021 2011 	2016
a dipeptide + H2O -> 2 a proteinogenic amino acid	2022 1066 	2023
a dipeptide with a C-terminal L-proline + H2O -> a proteinogenic amino acid + L-proline	2024 1066 	2023 1175 
a dipeptide[periplasm] -> a dipeptide[cytosol]	2022	2022
a dipeptide[periplasm] + a tripeptide[periplasm] -> a dipeptide[cytosol] + a tripeptide[cytosol]	2022 2025 	2022 2025 
a dipetide with an N-terminal L-aspartate + H2O -> L-aspartate + a proteinogenic amino acid	2026 1066 	1140 2023 
a DNA containing an apurinic/apyrimidinic site = a 5'-phospho-[DNA] + a 3'-terminal unsaturated sugar + H+	2027	1874 2028 1064 
a DNA containing Sp methyl phosphotriester + a [protein]-L-cysteine = a DNA without Sp methyl phosphotriester + a [protein]-S-methyl-L-cysteine + H+	532 1827 	533 2029 1064 
a DNA segment = a DNA segment in reverse orientation	2030	2031
a dodecanoyl-[acp] + a malonyl-[acp] + H+ -> a 3-oxotetradecanoyl-[acp] + CO2 + acyl-carrier protein	2032 1776 1064 	1748 834 1624 
a dodecanoyl-[acp] + H2O -> acyl-carrier protein + laurate + H+	2032 1066 	1624 1190 1064 
a dodecanoyl-[acp] + malonyl-CoA + H+ = a 3-oxotetradecanoyl-[acp] + CO2 + coenzyme A	2032 1208 1064 	1748 834 856 
a dodecanoyl-[acp] + NAD+ <- a (2E)-dodec-2-enoyl-[acp] + NADH + H+	1720 1299 1064 	2032 1298 
a dodecanoyl-[acp] + α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA -> α-Kdo-(2->4)-α-Kdo-(2->6)-(lauroyl)-lipid IVA + acyl-carrier protein	2032 2033 	2034 1624 
a double stranded DNA + ATP = a negatively supercoiled DNA + ADP + phosphate	2035 718 	2036 616 1354 
a double stranded DNA + n H2O -> n+1 a 5'-phosphooligonucleotide	2035 1066 	2037
a double stranded DNA + n H2O -> n+1 a 5'-phosphooligonucleotide	2035 1066 	2037
a double-stranded oligonucleotide + H2O -> n a nucleoside 5'-monophosphate	2038 1066 	2039
a galactoside[periplasm] + ATP + H2O -> a galactoside[cytosol] + ADP + phosphate + H+	2040 718 1066 	2040 616 1354 1064 
a glucan + maltotriose <=> a glucan + D-glucopyranose	2041 1213 	2041 1583 
a glucosylated glycogenin = a glycogen	2042	1793
a glutaryl-[acp] methyl ester + a malonyl-[acp] + H+ -> a 3-oxopimeloyl-[acp] methyl ester + CO2 + acyl-carrier protein	2043 1776 1064 	1743 834 1624 
a glutaryl-[acp] methyl ester + NAD+ <- an enoylglutaryl-[acp] methyl ester + NADH + H+	1723 1299 1064 	2043 1298 
a glycerophosphodiester + H2O -> an alcohol + sn-glycerol 3-phosphate + H+	2044 1066 	1857 1455 1064 
a glycogen + n phosphate -> an α-limit dextrin + n α-D-glucopyranose 1-phosphate	1793 1354 	2045 1584 
a glycogen + phosphate -> maltotetraose + α-D-glucopyranose 1-phosphate	1793 1354 	1212 1584 
a glycyl-[tRNAAla] + H2O -> glycine + a tRNAAla + H+	2046 1066 	1035 2047 1064 
a guanine34 in tRNA + preQ1 -> a 7-aminomethyl-7-deazaguanosine34 in tRNA + guanine	2048 1374 	2049 1059 
a guanine34 in tRNA + queuine -> a queuosine34 in tRNA + guanine	2048 1403 	2050 1059 
a hexanoyl-[acp] + a malonyl-[acp] + H+ -> a 3-oxooctanoyl-[acp] + CO2 + acyl-carrier protein	2051 1776 1064 	1740 834 1624 
a hexanoyl-[acp] + malonyl-CoA + H+ = a 3-oxooctanoyl-[acp] + CO2 + coenzyme A	2051 1208 1064 	1740 834 856 
a hexanoyl-[acp] + NAD+ <- a (2E)-hex-2-enoyl-[acp] + NADH + H+	1731 1299 1064 	2051 1298 
a hexose phosphate[periplasm] -> a hexose phosphate[cytosol]	2052	2052
a hexuronate[periplasm] -> a hexuronate[cytosol]	2053	2053
a holo [citrate lyase acyl-carrier protein] + acetate + ATP -> an acetyl-holo [citrate lyase acyl-carrier protein] + AMP + diphosphate	1669 591 718 	1993 707 955 
a holo [citrate lyase acyl-carrier protein] + S-acetyl phosphopantetheine -> an acetyl-holo [citrate lyase acyl-carrier protein] + 4'-phosphopantetheine	1669 1424 	1993 391 
a holo acyl-carrier protein + H2O -> 4'-phosphopantetheine + an apo acyl-carrier protein + H+	2054 1066 	391 2055 1064 
a holo-[EntF L-seryl-carrier protein] + (L-seryl)adenylate -> a seryl-[EntF L-seryl-carrier protein] + AMP + H+	1679 101 	1813 707 1064 
a hydroxamate[periplasm] + ATP + H2O -> a hydroxamate[cytosol] + ADP + phosphate + H+	2056 718 1066 	2056 616 1354 1064 
a lignoceroyl-[acp] + malonyl-CoA + H+ = a 3-oxohexacosanoyl-[acp] + CO2 + coenzyme A	2057 1208 1064 	1726 834 856 
a linear malto-oligosaccharide [(glucose)n] + phosphate -> a linear malto-oligosaccharide [(glucose)n-1] + α-D-glucopyranose 1-phosphate	2058 1354 	2059 1584 
a lipid A[cytosol] -> a lipid A[periplasm]	2060	2060
a lipid II + H2O -> a N-acetylglucosamine--N-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol + D-alanine	2061 1066 	2062 880 
a lipopolysaccharide[cytosol] + ATP + H2O -> a lipopolysaccharide[periplasm] + ADP + phosphate + H+	2063 718 1066 	2063 616 1354 1064 
a lipoprotein signal peptide + n H2O -> n+1 a peptide	1894 1066 	2064
a long-chain 2,3,4-saturated fatty acid + ATP + coenzyme A -> a long-chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	2065 718 856 	2066 707 955 
a long-chain acyl-CoA + H2O -> a long-chain fatty acid + coenzyme A + H+	2067 1066 	2068 856 1064 
a long-chain fatty acid + ATP + coenzyme A -> a long-chain acyl-CoA + AMP + diphosphate	2068 718 856 	2067 707 955 
a long-linear α-D-glucan + α-D-glucopyranose <=> 2 a short 1,4-α-D-glucan	2069 2070 	2071
a lyso-phospholipid[periplasm] -> a lyso-phospholipid[cytosol]	2072	2072
a macrolide[periplasm] + ATP + H2O -> a macrolide[cytosol] + ADP + phosphate + H+	2073 718 1066 	2073 616 1354 1064 
a malonyl-[acp] methyl ester + a malonyl-[acp] + H+ -> a 3-oxoglutaryl-[acp] methyl ester + CO2 + acyl-carrier protein	2074 1776 1064 	1724 834 1624 
a maltodextrin(n) + phosphate -> a maltodextrin(n-1) + α-D-glucopyranose 1-phosphate	2075 1354 	2075 1584 
a maltodextrin(n+1) + D-glucopyranose <=> a maltodextrin(n) + maltose	2075 1583 	2075 2076 
a maltodextrin[periplasm] + ATP + H2O -> a maltodextrin[cytosol] + ADP + phosphate + H+	2075 718 1066 	2075 616 1354 1064 
a menaquinone[membrane] + 2 H+[in] + 2 e-[membrane] -> a menaquinol[membrane]	1612 1064 1606 	1613
a menaquinone[membrane] + 2 H+[in] + H2[out] <=> a menaquinol[membrane] + 2 H+[out]	1612 1064 1065 	1613 1064 
a menaquinone[membrane] + 2 H+[out] + 2 e-[membrane] -> a menaquinol[membrane]	1612 1064 1606 	1613
a metal cation[cytosol] <=> a metal cation[periplasm]	2077	2077
a metal cation[periplasm] + acetate[periplasm] -> a metal cation[cytosol] + acetate[cytosol]	2077 591 	2077 591 
a methyl group[periplasm] + ATP + H2O -> a methyl group[cytosol] + ADP + phosphate + H+	545 718 1066 	545 616 1354 1064 
a methylated nucleobase within DNA + 2-oxoglutarate + oxygen -> a nucleobase within DNA + CO2 + formaldehyde + succinate	2078 280 1336 	2079 834 994 1462 
a myo-inositol monophosphate + H2O -> myo-inositol + phosphate	2080 1066 	1237 1354 
a myristoyl-[acp] + 1-myristoyl-sn-glycerol 3-phosphate -> 1,2-dimyristoyl-sn-glycerol 3-phosphate + acyl-carrier protein	1623 170 	148 1624 
a myristoyl-[acp] + a malonyl-[acp] + H+ -> a 3-oxohexadecanoyl-[acp] + CO2 + acyl-carrier protein	1623 1776 1064 	1729 834 1624 
a myristoyl-[acp] + Kdo2-(palmitoleoyl)-lipid IVA -> (Kdo)2-lipid A, cold adapted + acyl-carrier protein	1623 1109 	100 1624 
a myristoyl-[acp] + malonyl-CoA + H+ = a 3-oxohexadecanoyl-[acp] + CO2 + coenzyme A	1623 1208 1064 	1729 834 856 
a myristoyl-[acp] + NAD+ <- a (2E)-tetradec-2-enoyl-[acp] + NADH + H+	1747 1299 1064 	1623 1298 
a myristoyl-[acp] + sn-glycerol 3-phosphate -> 1-myristoyl-sn-glycerol 3-phosphate + acyl-carrier protein	1623 1455 	170 1624 
a myristoyl-[acp] + α-Kdo-(2->4)-α-Kdo-(2->6)-(lauroyl)-lipid IVA -> α-D-Kdo-(2->4)-α-D-Kdo-(2->6)-lipid A + acyl-carrier protein	1623 2034 	2081 1624 
a nascent [peptidoglycan]n with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide + ditrans,octacis-undecaprenyldiphospho-[(N-acetyl-β-D-glucosaminyl)-(1,4)-]-N-acetyl-α-D-muramoyl-L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine -> a nascent [peptidoglycan]n+1 with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide + di-trans,octa-cis-undecaprenyl diphosphate	2082 1643 	2083 941 
a nascent [peptidoglycan]n with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide + H2O -> a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + D-alanine	2082 1066 	2084 880 
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimelate) tripeptide -> a mature peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimelate) tripeptide + di-trans,octa-cis-undecaprenyl diphosphate + H+	546	539 941 1064 
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide -> a mature peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + di-trans,octa-cis-undecaprenyl diphosphate + H+	2084	540 941 1064 
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + a peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide -> a nascent peptidoglycan with L,D cross links (meso-diaminopimelate containing) + D-alanine	2084 2085 	549 880 
